data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9729561,466,MLI7958,7958,"06 January 2023",2023,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)","Military Forces of Mali (2021-)",7,27,"Western Africa",Mali,Mopti,Bankass,Baye,Baye,13.6226,-3.3705,1,"Undisclosed Source","Local partner-Other","On 6 January 2023, JNIM militants abducted a FAMa informant in the village of Baye (Bankass, Mopti). The militants cut off both hands of the victim.",0,1673311012,MLI
9729562,466,MLI7959,7959,"06 January 2023",2023,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Mali (2021-)",,1,"Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,12,"Western Africa",Mali,Mopti,Douentza,Dallah,Toula,14.8561,-2.6439,2,"Twitter; Undisclosed Source","Local partner-Other","On 6 January 2023, the Malian air force conducted an airstrike against Katiba Macina (JNIM) militants in the area of Toula (Douentza, Mopti). Several militants were killed. Unknown fatalities coded as 3.",3,1673311012,MLI
9729563,466,MLI7960,7960,"06 January 2023",2023,1,"Explosions/Remote violence","Remote explosive/landmine/IED","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Segou,Tominian,Lanfiala,Tiouga,13.5547,-4.1183,1,"Undisclosed Source","Local partner-Other","On 6 January 2023, a cart hit an IED likely planted by JNIM militants in the village of Tiouga (Tominian, Segou). A woman and a child were killed and two women wounded.",2,1673311012,MLI
9729564,466,MLI7961,7961,"06 January 2023",2023,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Tombouctou,Niafunke,Lere,Lere,15.7118,-4.9118,1,"Undisclosed Source","Local partner-Other","On 6 January 2023, an unidentified armed group shot and killed a motorcyclist and seized his motorcycle in the town of Lere (Niafunke, Tombouctou).",1,1673311013,MLI
9729541,466,MLI7938,7938,"05 January 2023",2023,1,"Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)","N'Djibala Communal Group (Mali)",7,17,"Western Africa",Mali,Segou,Macina,Kolongo,N'Djibala,13.9606,-5.6949,1,"Undisclosed Source","Local partner-Other","On 5 January 2023, FAMA and Wagner forces killed an elderly man, arrested the village chief, and burned about twenty motorcycles in the village of N'Djibala (Macina, Segou).",1,1673311012,MLI
9729555,466,MLI7952,7952,"05 January 2023",2023,1,"Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)","Dawsahak Ethnic Group (Mali)",7,27,"Western Africa",Mali,Menaka,Anderamboukane,Anderamboukane,Assakareye,15.7667,2.9258,2,"Undisclosed Source","Local partner-Other","On 5 January 2023, IS Sahel militants intercepted a transport vehicle and killed five people from the Dawsahak community in the valley of Assakareye (Anderamboukane, Menaka).",5,1673311012,MLI
9729556,466,MLI7953,7953,"05 January 2023",2023,1,"Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Menaka,Menaka,Menaka,Inagam,16.1497,2.5926,1,"Undisclosed Source","Local partner-Other","On 5 January 2023, IS Sahel militants attacked the village of Inagam (Menaka, Menaka). Three people were killed, a transport worker abducted, and livestock seized.",3,1673311012,MLI
9729557,466,MLI7954,7954,"05 January 2023",2023,1,"Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Menaka,Inekar,Inekar,Tassouwate,15.9636,3.4651,2,"Undisclosed Source","Local partner-Other","On 5 January 2023, IS Sahel militants shot and wounded a man north of Tassouwate (Inekar, Menaka).",0,1673311012,MLI
9729559,466,MLI7956,7956,"05 January 2023",2023,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dan Na Ambassagou",,4,24,"Western Africa",Mali,Mopti,Bandiagara,"Bara Sara",Parou,14.1891,-3.7488,2,"Undisclosed Source","Local partner-Other","On 5 January 2023, presumed JNIM militants attacked a Dan Na Ambassagou checkpoint between Parou and Songobia (Bandiagara, Mopti). Casualties unknown. The militants captured several weapons.",0,1673311012,MLI
9729560,466,MLI7957,7957,"05 January 2023",2023,1,"Explosions/Remote violence","Remote explosive/landmine/IED","JNIM: Group for Support of Islam and Muslims",,2,"Dozo Communal Militia (Mali)",,4,24,"Western Africa",Mali,Segou,Niono,Diabaly,Diambe,14.6162,-5.8984,1,"Undisclosed Source","Local partner-Other","On 5 January 2023, Donso militiamen hit an IED likely planted by JNIM militants near a bridge detonated the night before in the village of Diambe (Niono, Segou). Eight militiamen were killed and five severely wounded.",8,1673311012,MLI
9729536,466,MLI7933,7933,"04 January 2023",2023,1,Battles,"Armed clash","Ganda Izo","CMFPR1: Coordination of Patriotic Movements and Forces for Resistance (Plateforme)",3,"Bouyen Ba Hawi Militia (Mali)",,3,33,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,2,"Studio Tamani; Twitter; Undisclosed Source","Local partner-Other","On 4 January 2023, two Ganda Izo (CMFPR1) militiamen shot and killed a Bouyen Ba Hawi militiaman at the Agaya checkpoint, 7 km north of Gao (Gao, Gao). Two Bouyen Ba Hawi militiamen were escorting a transport vehicle when an altercation occurred and an exchange of gunfire ensued after the militiamen refused to pay taxes on the vehicle to the Ganda Izo (CMFPR1) militiamen.",1,1673311012,MLI
9729540,466,MLI7937,7937,"04 January 2023",2023,1,"Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)",,7,17,"Western Africa",Mali,Mopti,Djenne,Derrary,Marebougou,14.0886,-4.4259,1,"Undisclosed Source","Local partner-Other","On 4 January 2023, FAMa and Wagner forces killed two civilians including the son of the village chief, arrested fourteen people, and seized belongings in the village of Marebougou (Djenne, Mopti).",2,1673311012,MLI
9729554,466,MLI7951,7951,"04 January 2023",2023,1,"Explosions/Remote violence","Remote explosive/landmine/IED","JNIM: Group for Support of Islam and Muslims",,2,,,0,20,"Western Africa",Mali,Segou,Niono,Diabaly,Diambe,14.6162,-5.8984,1,"Undisclosed Source","Local partner-Other","On 4 January 2023, overnight presumed JNIM militants detonated a bridge in the village of Diambe (Niono, Segou).",0,1673311012,MLI
9729550,466,MLI7947,7947,"03 January 2023",2023,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Labour Group (Mali)",7,37,"Western Africa",Mali,Gao,Ansongo,Ansongo,Ansongo,15.6597,0.5022,2,"Studio Tamani; Undisclosed Source","Local partner-Other","On 3 January 2023, an unidentified armed group shot and killed a fuel trader (suspected of supplying militants) between Ansongo and Tin Hama (Ansongo, Gao).",1,1673311012,MLI
9729546,466,MLI7943,7943,"02 January 2023",2023,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Forest Guards (Mali)",,3,23,"Western Africa",Mali,Koulikoro,Kati,"Baguineda Camp",Kassela,12.5904,-7.6703,1,"Al Zallaqa; Facebook; Jeune Afrique; Mali Actu; RFI; Studio Tamani; Undisclosed Source; Whatsapp","Local partner-Other","On 2 January 2023, JNIM militants aboard motorcycles attacked a toll booth and forest guard station in the town of Kassela (Kati, Koulikoro). Two people including a forest guard and a guard were killed, a civilian was wounded, and a vehicle burned. JNIM claimed responsibility.",2,1673311012,MLI
9729547,466,MLI7944,7944,"02 January 2023",2023,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Labour Group (Mali)",7,37,"Western Africa",Mali,Koulikoro,Kati,Kati,Kati,12.7482,-8.0722,2,"AMAP; Facebook; Mali 24; Studio Tamani","New media-National","On 2 January 2023, an unidentified armed group attacked a bus carrying the staff of an artist a few kilometers from Kati (Kati, Koulikoro). The driver was shot and wounded and the passengers stripped of their belongings including cash, cell phones, and other items.",0,1673311012,MLI
9729548,466,MLI7945,7945,"02 January 2023",2023,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Police Forces of Mali (2021-)",,1,12,"Western Africa",Mali,Koulikoro,Dioila,"Zan Coulibaly",Marka-Coungo,12.7386,-7.2881,1,"Al Zallaqa; AMAP; Facebook; Jeune Afrique; Mali Actu; Mali Jet; Reuters; RFI; Studio Tamani; Undisclosed Source; VOA; Whatsapp","Local partner-Other","On 2 January 2023, JNIM militants aboard motorcycles attacked the civil protection station in the town of Marka-Coungo (Dioila, Koulikoro). Five people including two civil protection personnel and three civilians including a teacher were killed, lodgings and two vehicles burned, and one ambulance seized by the militants. One militant was wounded and abandoned a motorcycle, a light machine gun, and equipment. JNIM claimed responsibility.",5,1673311012,MLI
9729543,466,MLI7940,7940,"01 January 2023",2023,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Gao,Gao,Gabero,Kobe,16.0484,0.1113,1,"Studio Tamani",National,"On 1 January 2023, an unidentified armed group attacked a communal transport vehicle in Kobe (Gao, Gao). One person was killed and others stripped of their belongings.",1,1673311012,MLI
9729544,466,MLI7941,7941,"01 January 2023",2023,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Dozo Communal Militia (Mali)",,4,24,"Western Africa",Mali,Segou,Niono,"Toridaga Ko","Tely Were",14.5791,-5.8613,2,"Undisclosed Source","Local partner-Other","On 1 January 2023, JNIM militants and Donso militiamen clashed between Tely Were and Sinzina (Niono, Segou). One militiaman was killed.",1,1673311012,MLI
9727585,466,MLI7872,7872,"30 December 2022",2022,1,"Violence against civilians",Attack,"Military Forces of Mali (2021-)","Wagner Group",1,"Civilians (Mali)",,7,17,"Western Africa",Mali,Mopti,Tenenkou,"Togoro Kotia","Sossobe Togoro",14.5608,-4.6746,1,"Twitter; Undisclosed Source","Local partner-Other","On 30 December 2022, FAMa and Wagner forces conducted a combined air and ground operation aboard helicopters in the village of Sossobe Togoro (Tenenkou, Mopti). Two people including a mentally ill person were killed and nine others were arrested.",2,1673307074,MLI
9727642,466,MLI7929,7929,"30 December 2022",2022,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Miners (Mali); Tuareg Ethnic Group (Mali)",7,37,"Western Africa",Mali,Gao,Gao,Gounzoureye,Bagoundie,16.2191,-0.0193,2,"Twitter; Undisclosed Source","Local partner-Other","On 30 December 2022, an unidentified armed group opened fire against gold miners of the Tuareg Kel Essouk community from Marsi at the Bawa IDP site, near Bagoundie village (Gao, Gao). One person was killed and two wounded.",1,1673307074,MLI
9727643,466,MLI7930,7930,"30 December 2022",2022,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Refugees/IDPs (Mali); Dawsahak Ethnic Group (Mali)",7,37,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,"Twitter; Undisclosed Source","Local partner-Other","On 30 December 2022, an unidentified armed group opened fire against the IDP site of the Dawsahak community from Talataye in the southern outskirts of the city of Gao (Gao, Gao). Three persons were wounded.",0,1673307074,MLI
9727644,466,MLI7931,7931,"30 December 2022",2022,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Arab Ethnic Group (Mali); Labour Group (Mali)",7,37,"Western Africa",Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,"Undisclosed Source","Local partner-Other","On 30 December 2022, an unidentified armed group attacked the domicile of an Arab merchant in the Chateau quarter in the city of Gao (Gao, Gao). The son of the merchant was wounded and transported to hospital.",0,1673307074,MLI
9727641,466,MLI7928,7928,"29 December 2022",2022,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2021-)",,8,28,"Western Africa",Mali,Tombouctou,Tombouctou,Ber,"Tin Foraka",16.854,-2.5997,2,"Twitter; UN MINUSMA","Other-New media","On 29 December 2022, A MINUSMA convoy of the Burkinabe contingent was subjected to a complex ambush when a vehicle hit an IED likely planted by JNIM militants and the convoy came under fire near Tin Foraka, on the road between Ber and Timbuktu (Tombouctou, Tombouctou). One peacekeeper was injured.",0,1673307074,MLI
9729542,466,MLI7939,7939,"29 December 2022",2022,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Miners (Mali)",7,37,"Western Africa",Mali,Bamako,Bamako,"Commune III",Bamako,12.65,-8,2,Maliweb,National,"On 29 December 2022, an unidentified armed group attacked and robbed passengers on a communal transport bus escorted by gendarmes about 75km west of Bamako (Bamako, Bamako) on the road to the Fekola Mine (Kenieba, Kayes). Two employees of the mining company B2Gold were killed.",2,1673311012,MLI
9727577,466,MLI7864,7864,"28 December 2022",2022,1,Battles,"Armed clash","MSA: Movement for Azawad Salvation","GATIA: Imghad Tuareg and Allies Self-Defense Group",3,"Islamic State (Sahel)",,2,23,"Western Africa",Mali,Gao,Ansongo,Ansongo,Ansongo,15.6597,0.5022,2,"Twitter; Undisclosed Source","Local partner-Other","On 28 December 2022, MSA and GATIA militiamen attacked and clashed with IS Sahel militants at about 2km from the southeast of Ansongo (Ansongo, Gao) after the killing of a pastoralist by IS Sahel militants. One militiaman was wounded and some of the livestock recovered by the coalition.",1,1673307074,MLI
9727584,466,MLI7871,7871,"28 December 2022",2022,1,Battles,"Armed clash","Military Forces of Mali (2021-)","Wagner Group",1,"Islamic State (Sahel)",,2,12,"Western Africa",Mali,Gao,Ansongo,Bourra,Golingo,15.4861,0.6421,1,"Reelle Afrique; Studio Tamani; Undisclosed Source","Local partner-Other","On 28 December 2022, FAMa and Wagner forces carried out an air-supported operation against IS Sahel militants in Golingo (Ansongo, Gao). Several IS Sahel militants were killed in the ensuing battle. Unspecified fatalities coded as 3.",3,1673307074,MLI
9727639,466,MLI7926,7926,"28 December 2022",2022,1,"Violence against civilians",Attack,"Islamic State (Sahel)",,2,"Civilians (Mali)","Pastoralists (Mali)",7,27,"Western Africa",Mali,Gao,Ansongo,Ansongo,Ansongo,15.6597,0.5022,2,"Twitter; Undisclosed Source","Local partner-Other","On 28 December 2022, IS Sahel militants killed a pastoralist and seized livestock northeast of Ansongo (Ansongo, Gao). MSA and GATIA militiamen launched a pursuit and clashed with the IS Sahel militants about 2km southeast of Ansongo (coded separately).",1,1673307074,MLI
9727638,466,MLI7925,7925,"27 December 2022",2022,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Fulani Ethnic Group (Mali); Pastoralists (Mali)",7,37,"Western Africa",Mali,Gao,Gao,N'tillit,Intahaka,16.2036,-0.4769,1,"Undisclosed Source","Local partner-Other","On 27 December 2022, an unidentified armed group killed a Fulani man at the mining site in Intahaka (Gao, Gao).",1,1673307074,MLI
9727636,466,MLI7923,7923,"26 December 2022",2022,1,Battles,"Armed clash","Unidentified Armed Group (Mali)",,3,"Police Forces of Mali (2021-) Gendarmerie",,1,13,"Western Africa",Mali,Tombouctou,Goundam,Goundam,Goundam,16.4167,-3.6667,1,"Twitter; Undisclosed Source","Local partner-Other","On 26 December 2022, an unidentified armed group shot and killed a gendarme in the Alkara quarter in the town of Goundam (Goundam, Tombouctou).",1,1673307074,MLI
