id,relid,year,active_year,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
11865,MLI-1990-3-432-9,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Lecoq, ""Disputed Desert"", 306, referring to Le Monde and Klute",,,,,5,Northern Mali,Mali (north),,,20,-3,POINT (-3 20),158755,Mali,432,Africa,2,5,06/28/1990 00:00:00,08/28/1990 00:00:00,0,0,0,0,0,137,0
11867,MLI-1990-3-432-4,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Reuters 15/8-90,,,,Amnesty International,1,Kidal town,Kidal town,Gao region,Kidal cercle,18.441111,1.407778,POINT (1.407778 18.441111),155883,Mali,432,Africa,1,1,08/06/1990 00:00,08/06/1990 00:00,0,0,4,0,4,4,4
11879,MLI-1990-1-96-3,1990,TRUE,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"Lecocq, 232",,,,,1,Ti-n-Essako town,Ti-n-Essako town,Gao region,Menaka cercle,17.583333,2.866667,POINT (2.866667 17.583333),155166,Mali,432,Africa,1,1,07/02/1990 00:00,07/02/1990 00:00,3,1,0,0,4,4,4
11880,MLI-1990-1-96-6,1990,TRUE,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"Lecocq, 235",,,,,1,Tayekaren camp,Tayekaren camp,Gao region,Menaka cercle,16.485833,3.566944,POINT (3.566944 16.485833),153008,Mali,432,Africa,2,4,07/20/1990 00:00:00,08/10/1990 00:00,100,0,0,0,100,100,100
11884,MLI-1990-3-432-2,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Reuters 15/8-90,,,,Amnesty International,2,Gao town,Gao town (near),Gao region,Gao cercle,16.271667,-0.044722,POINT (-0.044722 16.271667),153000,Mali,432,Africa,1,1,08/03/1990 00:00,08/03/1990 00:00,0,0,11,0,11,11,11
11938,MLI-1990-3-432-5,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Reuters 15/8-90,,,,Amnesty International,1,Ti-n-Essako town,Ti-n-Essako town,Gao region,Menaka cercle,17.583333,2.866667,POINT (2.866667 17.583333),155166,Mali,432,Africa,1,1,08/06/1990 00:00,08/06/1990 00:00,0,0,2,0,2,2,2
12012,MLI-1990-3-432-3,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,Reuters 15/8-90,,,,Amnesty International,1,Menaka town,Menaka town,Gao region,Menaka cercle,15.9182,2.4022,POINT (2.4022 15.9182),152285,Mali,432,Africa,1,1,08/06/1990 00:00,08/06/1990 00:00,0,0,3,0,3,3,3
12993,MLI-1990-1-96-1,1990,TRUE,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"The Peace of Timbuktu"", 56, Humphreys and ag Mohamed, ""Senegal & Mali"", 3",,,,,1,Tidarmene town,Tidarmene town,Gao region,Menaka cercle,16.615833,2.42,POINT (2.42 16.615833),153725,Mali,432,Africa,1,1,06/28/1990 00:00:00,06/28/1990 00:00:00,4,0,0,0,4,4,4
13015,MLI-1990-3-432-1,1990,TRUE,454,Government of Mali - Civilians,72,921,Government of Mali - Civilians,72,72,Government of Mali,9999,1,Civilians,-1,"Lecocq, 257",,,,,2,Ti-n-Essako town,Ti-n-Essako town (near),Gao region,Menaka cercle,17.583333,2.866667,POINT (2.866667 17.583333),155166,Mali,432,Africa,2,4,07/01/1990 00:00,07/31/1990 00:00:00,0,0,94,0,94,94,94
13080,MLI-1990-1-96-2,1990,TRUE,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"The Peace of Timbuktu"", 56, ""Historical Dictionary of Mali"", xliv, Humphreys and ag Mohamed, ""Senegal & Mali"", 3",,,,,1,Menaka town,Menaka town,Gao region,Menaka cercle,15.9182,2.4022,POINT (2.4022 15.9182),152285,Mali,432,Africa,1,1,06/28/1990 00:00:00,06/28/1990 00:00:00,4,0,0,0,4,14,4
